artist,number_of_albums,number_of_songs,number_of_words,number_of_unique_words,most_repeated_word,most_repeated_word_count,top2_word,top2_word_count,top3_word,top3_word_count,top4_word,top4_word_count,top5_word,top5_word_count,artist_image
2Pac,15,47,145101,5873,see,880,life,832,know,733,time,578,thug,525,../images/2Pac.png
21 Savage,6,49,29770,2424,yeah,490,bitch,418,gang,224,money,180,know,179,../images/21 Savage.png
50 Cent,24,132,106228,5265,know,795,yeah,654,bitch,544,man,526,see,498,../images/50 Cent.png
A Tribe Called Quest,7,42,51054,4881,know,339,yo,314,make,286,yeah,238,man,209,../images/A Tribe Called Quest.png
A_AP Rocky,5,23,10479,2276,bitch,64,yeah,55,know,52,red,51,see,40,../images/A_AP Rocky.png
Aesop Rock,12,81,79858,10547,one,355,back,223,might,204,never,184,little,183,../images/Aesop Rock.png
Atmosphere,26,152,85595,6453,know,501,might,329,love,325,make,275,take,265,../images/Atmosphere.png
Azealia Banks,6,51,22260,3023,ya,203,bitch,199,know,131,want,97,might,83,../images/Azealia Banks.png
Baby Keem,6,53,17668,1769,yeah,332,bitch,264,might,134,go,107,want,98,../images/Baby Keem.png
Big Daddy Kane,6,42,44173,4543,cause,226,man,221,know,213,one,182,come,173,../images/Big Daddy Kane.png
Big L,5,19,28115,2918,big,181,yo,137,back,101,yeah,99,know,96,../images/Big L.png
Big Pun,3,16,20297,3028,back,101,know,99,pun,80,yeah,72,one,70,../images/Big Pun.png
Big Sean,9,92,72814,4878,know,626,yeah,505,man,427,time,313,bitch,309,../images/Big Sean.png
Cardi B,3,27,14592,1633,bitch,215,money,124,know,120,yeah,95,bag,88,../images/Cardi B.png
Chance the Rapper,6,42,30990,3394,know,288,yeah,210,love,140,good,135,around,131,../images/Chance the Rapper.png
Chief Keef,39,380,179707,5763,bitch,2950,bang,2398,yeah,1605,know,1564,money,1224,../images/Chief Keef.png
Childish Gambino,13,94,55792,4339,yeah,456,know,450,oh,301,love,265,man,256,../images/Childish Gambino.png
Common,15,96,80512,6318,know,487,yeah,389,love,361,go,351,say,294,../images/Common.png
Cordae,5,53,29418,3365,know,175,never,154,yeah,143,make,115,see,102,../images/Cordae.png
Cypress Hill,12,103,69028,5200,cypress,370,one,333,hill,303,know,295,ya,285,../images/Cypress Hill.png
Danny Brown,10,93,43356,4287,go,289,know,278,bitch,213,back,206,never,168,../images/Danny Brown.png
De La Soul,11,68,60886,5644,know,330,yo,287,man,276,come,240,one,238,../images/De La Soul.png
DMX,13,62,86414,4198,know,885,dog,613,yeah,544,go,448,see,338,../images/DMX.png
Doja Cat,4,44,21454,2016,yeah,424,baby,197,know,166,go,160,love,113,../images/Doja Cat.png
Dr_ Dre,5,25,26412,2872,know,213,yeah,152,back,149,bitch,134,one,105,../images/Dr_ Dre.png
Drake,19,181,129907,6168,know,1473,yeah,1447,oh,526,love,523,back,509,../images/Drake.png
Earl Sweatshirt,6,54,19341,3618,bitch,100,know,99,yeah,90,might,76,back,74,../images/Earl Sweatshirt.png
Eminem,14,26,177536,8983,yeah,892,back,802,know,787,go,720,one,624,../images/Eminem.png
Eric B_ _ Rakim,4,18,16125,2526,make,100,clap,79,keep,71,say,64,one,62,../images/Eric B_ _ Rakim.png
Future,26,221,154025,6118,yeah,1898,know,954,bitch,853,go,812,money,769,../images/Future.png
Ghostface Killah,15,123,78941,7042,yo,514,know,399,yeah,335,back,296,man,260,../images/Ghostface Killah.png
Gucci Mane,92,693,408395,10079,bitch,3073,money,2368,yeah,2338,know,2230,man,1976,../images/Gucci Mane.png
Hopsin,7,10,56807,4349,know,404,yeah,267,bitch,221,see,197,man,188,../images/Hopsin.png
Ice Cube,13,81,84496,5648,know,633,ass,416,bitch,345,cube,311,yeah,309,../images/Ice Cube.png
Ice Spice,1,6,3641,571,damn,88,know,50,bitch,44,mood,42,want,27,../images/Ice Spice.png
J. Cole,10,52,69695,4438,yeah,578,know,567,man,389,back,300,see,298,../images/J. Cole.png
Jack Harlow,10,79,41534,3408,know,528,yeah,273,time,172,might,170,tell,169,../images/Jack Harlow.png
JAY_Z,17,74,119562,6599,know,984,yeah,541,one,506,love,482,back,447,../images/JAY_Z.png
Jeezy,24,194,131442,5659,yeah,1594,know,1293,bitch,612,right,586,back,566,../images/Jeezy.png
Joey Bada__,6,47,44253,4460,know,316,yeah,262,never,204,see,182,back,167,../images/Joey Bada__.png
Joyner Lucas,6,17,52326,3631,yeah,460,know,391,never,302,love,280,need,229,../images/Joyner Lucas.png
Juice WRLD,9,63,29613,2341,yeah,552,know,294,oh,214,feel,162,go,159,../images/Juice WRLD.png
Kanye West,16,135,83323,5075,know,714,yeah,485,oh,425,go,353,right,321,../images/Kanye West.png
Kendrick Lamar,9,50,79176,6055,know,486,love,279,one,268,feel,258,tell,257,../images/Kendrick Lamar.png
Kid Cudi,11,113,47421,3576,yeah,707,oh,510,know,336,see,245,go,198,../images/Kid Cudi.png
KMD,1,8,10667,2106,yeah,112,man,88,yo,66,one,59,ya,47,../images/KMD.png
Lauryn Hill,3,24,11808,1813,oh,118,know,111,love,94,might,60,one,60,../images/Lauryn Hill.png
Lil Nas X,3,23,7918,1113,yeah,130,know,103,oh,73,want,60,need,51,../images/Lil Nas X.png
Lil Uzi Vert,12,75,72138,3579,yeah,3259,know,746,bitch,743,money,444,go,391,../images/Lil Uzi Vert.png
Lil Wayne,42,304,330412,10301,yeah,3663,bitch,2291,know,2053,money,1660,see,1264,../images/Lil Wayne.png
Lil Yachty,14,117,60483,4090,yeah,1103,bitch,763,know,449,back,302,go,275,../images/Lil Yachty.png
Lil_ Kim,9,60,56835,4338,know,378,bitch,376,kim,295,yeah,273,queen,234,../images/Lil_ Kim.png
Logic,22,161,141413,6926,know,1546,yeah,1433,never,718,man,586,back,583,../images/Logic.png
Lupe Fiasco,16,101,84959,7275,go,554,yeah,498,know,361,back,317,see,305,../images/Lupe Fiasco.png
Mac Miller,16,164,97887,5607,yeah,1106,know,612,go,521,love,349,time,343,../images/Mac Miller.png
Masta Ace,7,53,44679,4534,know,266,man,188,see,177,yeah,172,yo,171,../images/Masta Ace.png
Megan Thee Stallion,8,64,45897,2958,yeah,878,bitch,752,know,420,ah,388,make,290,../images/Megan Thee Stallion.png
MF DOOM,4,26,22856,3906,know,83,man,72,might,72,one,68,doom,68,../images/MF DOOM.png
Migos,13,66,118572,5633,know,835,bitch,818,yeah,797,go,592,money,544,../images/Migos.png
Missy Elliott,7,45,42644,3189,yeah,423,oh,362,know,293,make,226,go,221,../images/Missy Elliott.png
Mobb Deep,15,81,87131,5691,know,570,back,368,yeah,343,man,333,yo,325,../images/Mobb Deep.png
Nas,22,137,146908,8665,know,761,yeah,680,one,592,back,576,man,533,../images/Nas.png
Nipsey Hussle,13,121,82000,4877,know,570,money,452,yeah,386,look,385,go,345,../images/Nipsey Hussle.png
OutKast,7,42,57187,4673,know,358,yeah,324,see,201,might,196,back,196,../images/OutKast.png
Playboi Carti,4,45,24821,1874,yeah,1732,bitch,528,go,197,huh,122,know,119,../images/Playboi Carti.png
Pop Smoke,7,57,28538,2448,woo,561,yeah,472,know,265,oh,172,look,167,../images/Pop Smoke.png
Public Enemy,17,108,82021,6111,know,594,go,420,one,407,back,393,yo,380,../images/Public Enemy.png
Pusha T,7,51,25811,3454,yeah,149,money,145,know,143,might,109,see,108,../images/Pusha T.png
Queen Latifah,6,23,23286,2718,know,206,love,161,queen,128,go,126,yeah,98,../images/Queen Latifah.png
Run_DMC,7,50,33001,3422,rock,197,know,176,king,159,run,157,yo,150,../images/Run_DMC.png
Scarface,13,77,81312,4988,know,417,back,326,see,315,bitch,285,one,275,../images/Scarface.png
Slick Rick,5,25,22489,3221,rick,127,know,118,said,117,one,99,run,69,../images/Slick Rick.png
Snoop Dogg,32,243,201563,7529,yeah,1319,know,1291,snoop,834,one,811,bitch,797,../images/Snoop Dogg.png
Talib Kweli,12,60,62772,5613,yeah,352,know,341,love,302,go,278,come,226,../images/Talib Kweli.png
The Notorious B.I.G.,5,17,48462,3914,know,375,back,283,see,257,come,245,bitch,237,../images/The Notorious B.I.G..png
The Pharcyde,3,13,18151,2559,know,143,ya,135,sea,72,oh,65,man,59,../images/The Pharcyde.png
Travis Scott,6,62,36370,3289,yeah,830,know,395,oh,230,might,180,back,151,../images/Travis Scott.png
Vince Staples,11,85,35032,3281,yeah,408,know,271,love,254,never,240,right,166,../images/Vince Staples.png
Wu_Tang Clan,9,53,62882,6935,yo,350,one,312,man,257,ya,241,go,229,../images/Wu_Tang Clan.png
Yasiin Bey,4,38,25878,3483,love,158,know,158,black,133,say,99,rock,97,../images/Yasiin Bey.png
Young Thug,19,146,124767,5573,yeah,2530,know,1070,bitch,1007,baby,784,oh,540,../images/Young Thug.png
