title,album,release_date,featured_artists,producer_artists,writer_artists,genius_track_id,genius_album_id,artist,file_exists
1.5,i am﹥i was,2018,['Offset'],"['Nils', 'Wheezy']","['Nils', 'Wheezy', 'Offset', '21 Savage']",4155501,477314,21 Savage,True
H2O,Free Guwop EP,2015,[],"['Sonny Digital', 'Zaytoven']","['Zaytoven', 'Sonny Digital', '21 Savage']",2251254,134590,21 Savage,False
​gun smoke,i am﹥i was,2018,[],"['Freek van Workum', 'ItsNicklus', 'Kid Hazel']","['Freek van Workum', 'ItsNicklus', 'Kid Hazel', '21 Savage']",4155500,477314,21 Savage,True
​good day,i am﹥i was,2018,"['Project Pat', 'ScHoolboy Q']","['Cardo', '30 Roc']","['21 Savage', 'ScHoolboy Q', 'Project Pat', 'Cardo', '30 Roc', 'BEAM', 'Jozzy', 'EZ Elpee', 'DJ Paul', 'Brock Korsan']",4155511,477314,21 Savage,True
Gang,The Slaughter Tape,2015,[],['F12'],"['F12', '21 Savage']",2442069,133503,21 Savage,True
Fuckin Niggaz Bitches,The Slaughter Tape,2015,[],"['F12', 'Young God']","['Young God', 'F12', '21 Savage']",2293672,133503,21 Savage,True
Front Door,Slaughter King,2015,[],['Will-A-Fool'],"['Will-A-Fool', '21 Savage']",2390679,139131,21 Savage,True
Free Gucci,Free Guwop EP,2015,[],['TM88'],"['TM88', '21 Savage']",2459294,134590,21 Savage,False
Famous,Issa Album,2017,[],"['Zaytoven', 'Metro Boomin']","['Zaytoven', 'Metro Boomin', '21 Savage']",3147473,346573,21 Savage,True
FaceTime,Issa Album,2017,[],"['Twice as Nice', 'Mustard']","['Nicholas Audino', 'Lewis Hughes', 'SickDrumz', 'Mustard', '21 Savage']",3147489,346573,21 Savage,True
Drip,The Slaughter Tape,2015,[],"['TM88', 'Metro Boomin']","['Metro Boomin', 'TM88', '21 Savage']",2347009,133503,21 Savage,True
Drinkin and Driving,The Slaughter Tape,2015,[],['F12'],"['F12', '21 Savage']",2347662,133503,21 Savage,True
Dirty K,Slaughter King,2015,['Lotto Savage'],['KD-Beatz'],"['KD-Beatz', '21 Savage', 'Lotto Savage']",2384389,139131,21 Savage,True
Dirty,21S3*,2020,[],['Southside'],['21 Savage'],5552430,575571,21 Savage,False
Deserve,Slaughter King,2015,[],['Metro Boomin'],"['Metro Boomin', '21 Savage']",2444416,139131,21 Savage,True
Heart So Cold,The Slaughter Tape,2015,['Freaky D$MG'],['Mercy'],"['Mercy', 'Freaky D$MG', '21 Savage']",2842219,133503,21 Savage,True
Dead People,Issa Album,2017,[],"['Jake One', 'Southside']","['Southside', '21 Savage', 'Jake One']",3147525,346573,21 Savage,True
​can’t leave without it,i am﹥i was,2018,"['Gunna', 'Lil Baby']","['CuBeatz', 'Wheezy']","['Tim Gomringer', 'Kevin Gomringer', 'Wheezy', 'Gunna', 'Lil Baby', '21 Savage']",4155507,477314,21 Savage,True
​break da law,i am﹥i was,2018,[],"['Doughboy Beatz', 'Southside', 'Metro Boomin']","['Doughboy Beatz', 'Southside', 'Metro Boomin', '21 Savage']",4155495,477314,21 Savage,True
Bitch Nigga Please,Slaughter King,2015,[],['Dolan Beats'],"['21 Savage', 'Dolan Beats']",2421000,139131,21 Savage,True
Bank Account,Issa Album,2017,[],"['Metro Boomin', '21 Savage']","['Coleridge-Taylor Perkinson', 'Metro Boomin', '21 Savage']",3138854,346573,21 Savage,True
​ball w/o you,i am﹥i was,2018,[],"['TM88', 'DJ Plugg', 'Paul Cabbin', 'BustDownBirdie', 'Macnificent']","['21 Savage', 'TM88', 'DJ Plugg', 'Paul Cabbin', 'Ralphy London', 'BEAM']",4155509,477314,21 Savage,True
Bad Business,Issa Album,2017,[],"['Sam Wish', 'Jake One', 'Southside']","['Southside', '21 Savage']",3147476,346573,21 Savage,True
Baby Girl,Issa Album,2017,[],['Pi’erre Bourne'],"['Pi’erre Bourne', '21 Savage']",3147477,346573,21 Savage,True
